User number,Q1: How many times a year do you do a DIY project?,Q2: About how much do you spend on home-improvement each year?,Q3: Do you plan to complete a DIY project that involves painting in the next year?,"Q4: If you answered yes to question 3, about how much do you plan to spend on indoor paint for the project?","Q5: If you answered yes to question 3, how likely are you to try an indoor paint offered by Meer-Kitty for your project?",Q6: What are your favorite indoor paint colors?,Q6: What are your favorite indoor paint colors?,,,
749,01-02-2021,Less than $100,Yes,Less than $50,Somewhat likely,"red, orange",red, orange,,
854,03-05-2021,$101-$250,No,,,lime,lime,,,
721,none,Less than $100,No,,,Indigo,Indigo,,,
772,01-02-2021,"$501-$1,000",Yes,$101-$250,Very likely,"pink, blue, purple",pink, blue, purple,
923,01-02-2021,"$501-$1,000",No,,,Green,Green,,,
129,03-05-2021,Less than $100,No,,,olive,olive,,,
919,none,Less than $100,No,,,Navy,Navy,,,
603,01-02-2021,"More than $1,000",Yes,Less than $50,Somewhat likely,Yellow,Yellow,,,
314,none,Less than $100,No,,,,,,,
245,03-05-2021,"$501-$1,000",Yes,$101-$250,Unlikely,"Brown, Tan, Gray",Brown, Tan, Gray,
653,03-05-2021,Less than $100,No,,,,,,,
141,01-02-2021,"$501-$1,000",Yes,$51-$100,Somewhat likely,"Aqua, Turquoise, Teal",Aqua, Turquoise, Teal,
529,none,Less than $100,Yes,Less than $50,Unlikely,"beige, cream",beige, cream,,
256,none,Less than $100,No,,,aquamarine,aquamarine,,,
682,none,Less than $100,Yes,$51-$100,Somewhat likely,"White, ecru",White, ecru,,
511,01-02-2021,$101-$250,No,,,Red,Red,,,
920,01-02-2021,"$501-$1,000",Yes,Less than $50,Very likely,Orange,Orange,,,
329,none,Less than $100,No,,,,,,,
396,01-02-2021,Less than $100,Yes,$51-$100,Unlikely,green,green,,,
469,7 or more,"$501-$1,000",Yes,Less than $50,Somewhat likely,Blue,Blue,,,
499,none,$101-$250,No,,,Purple,Purple,,,
232,none,Less than $100,No,,,,,,,
910,none,Less than $100,Yes,$101-$250,Very likely,Magenta,Magenta,,,
769,03-05-2021,$101-$250,Yes,Less than $50,Somewhat likely,,,,,
361,03-05-2021,"$501-$1,000",No,,,Cyan,Cyan,,,
592,01-02-2021,$251-$500,No,,,olive,olive,,,
485,01-02-2021,"$501-$1,000",No,,,maroon,maroon,,,
905,01-02-2021,Less than $100,Yes,Less than $50,Very likely,Navy,Navy,,,
917,none,Less than $100,Yes,$101-$250,Somewhat likely,,,,,
342,01-02-2021,"More than $1,000",No,,,Turquoise,Turquoise,,,
528,01-02-2021,$101-$250,No,,,Silver,Silver,,,
855,03-05-2021,"$501-$1,000",Yes,Less than $50,Unlikely,lime,lime,,,
547,01-02-2021,Less than $100,No,,,,,,,
937,01-02-2021,"$501-$1,000",No,,,indigo,indigo,,,
242,03-05-2021,$101-$250,No,,,Violet,Violet,,,
922,none,Less than $100,Yes,$51-$100,Somewhat likely,"Blue, purple",Blue, purple,,
506,none,Less than $100,No,,,,,,,
988,01-02-2021,$101-$250,Yes,Less than $50,Somewhat likely,Yellow,Yellow,,,
612,03-05-2021,$251-$500,No,,,green,green,,,
602,01-02-2021,Less than $100,Yes,Less than $50,Unlikely,olive,olive,,,
918,03-05-2021,$101-$250,No,,,Navy,Navy,,,
599,none,Less than $100,No,,,,,,,
